time,ax,ay,az
88.187,528.0,-224.0,-741.0
88.312,641.0,-285.0,-682.0
88.435,684.0,-241.0,-633.0
88.699,717.0,-237.0,-590.0
88.823,648.0,-233.0,-676.0
88.947,510.0,-193.0,-788.0
89.071,360.0,-156.0,-888.0
89.196,264.0,-152.0,-925.0
89.739,169.0,-100.0,-969.0
90.144,122.0,-80.0,-954.0
90.267,193.0,-64.0,-940.0
90.392,305.0,-42.0,-916.0
90.516,426.0,-61.0,-882.0
90.639,560.0,-129.0,-781.0
90.764,668.0,-216.0,-661.0
90.89,740.0,-186.0,-572.0
91.155,677.0,-125.0,-657.0
91.279,486.0,-138.0,-818.0
91.403,192.0,-101.0,-945.0
91.528,-65.0,-40.0,-996.0
91.931,-182.0,9.0,-981.0
92.055,-144.0,-9.0,-981.0
92.179,-82.0,-46.0,-961.0
92.303,33.0,-44.0,-913.0
92.427,210.0,-88.0,-822.0
92.551,426.0,-172.0,-766.0
92.676,573.0,-246.0,-702.0
92.8,669.0,-229.0,-658.0
93.343,693.0,-172.0,-566.0
93.467,554.0,-154.0,-672.0
93.591,381.0,-138.0,-789.0
93.719,208.0,-90.0,-918.0
93.843,101.0,-62.0,-965.0
94.528,88.0,-62.0,-998.0
94.651,225.0,-90.0,-970.0
94.776,405.0,-170.0,-905.0
94.899,554.0,-209.0,-785.0
95.023,657.0,-216.0,-684.0
95.149,709.0,-165.0,-616.0
95.292,720.0,-166.0,-605.0
95.416,684.0,-190.0,-625.0
95.539,570.0,-188.0,-713.0
95.663,392.0,-164.0,-816.0
95.788,233.0,-134.0,-926.0
96.051,81.0,-108.0,-980.0
96.736,70.0,-78.0,-961.0
96.859,189.0,-97.0,-953.0
96.983,324.0,-109.0,-916.0
97.107,470.0,-180.0,-841.0
97.231,597.0,-218.0,-684.0
97.355,714.0,-257.0,-569.0
97.48,710.0,-226.0,-566.0
97.603,600.0,-236.0,-662.0
97.727,440.0,-234.0,-768.0
97.851,296.0,-234.0,-850.0
97.975,204.0,-206.0,-896.0
98.099,132.0,-178.0,-929.0
98.223,62.0,-150.0,-960.0
98.347,-9.0,-113.0,-980.0
98.472,-70.0,-92.0,-998.0
98.736,-10.0,-94.0,-977.0
98.859,54.0,-81.0,-930.0
98.983,70.0,-44.0,-946.0
99.107,49.0,26.0,-964.0
99.236,156.0,9.0,-1004.0
99.359,328.0,16.0,-914.0
99.483,496.0,24.0,-848.0
99.607,606.0,60.0,-736.0
99.731,712.0,46.0,-648.0
99.855,796.0,21.0,-532.0
100.119,722.0,45.0,-562.0
100.243,561.0,44.0,-725.0
100.367,326.0,30.0,-878.0
100.492,162.0,-22.0,-966.0
100.615,28.0,-49.0,-990.0
101.16,-22.0,-108.0,-997.0
101.423,77.0,-140.0,-984.0
101.547,156.0,-145.0,-956.0
101.671,245.0,-160.0,-856.0
101.795,382.0,-140.0,-786.0
101.919,502.0,-124.0,-700.0
102.043,658.0,-94.0,-678.0
102.167,741.0,-77.0,-604.0
102.291,764.0,-64.0,-612.0
102.415,664.0,-56.0,-690.0
102.539,492.0,-42.0,-814.0
102.663,314.0,-29.0,-917.0
102.787,188.0,-38.0,-968.0
102.911,44.0,-8.0,-992.0
103.175,-78.0,22.0,-992.0
103.303,-64.0,13.0,-996.0
103.847,16.0,-9.0,-1008.0
103.972,106.0,-10.0,-1014.0
104.095,234.0,-32.0,-974.0
104.219,340.0,-65.0,-924.0
104.344,478.0,-100.0,-828.0
104.467,637.0,-113.0,-676.0
104.591,761.0,-134.0,-484.0
104.715,841.0,-173.0,-402.0
104.84,738.0,-178.0,-500.0
104.963,552.0,-188.0,-725.0
105.087,325.0,-142.0,-888.0
105.211,174.0,-117.0,-969.0
105.336,54.0,-70.0,-961.0
105.459,-21.0,-70.0,-968.0
106.143,2.0,-85.0,-996.0
106.267,180.0,-97.0,-954.0
106.391,396.0,-118.0,-881.0
106.515,605.0,-137.0,-750.0
106.639,705.0,-129.0,-621.0
106.763,785.0,-124.0,-521.0
106.887,801.0,-108.0,-490.0
107.011,757.0,-112.0,-578.0
107.135,590.0,-102.0,-729.0
107.259,401.0,-104.0,-861.0
107.387,233.0,-90.0,-942.0
107.511,141.0,-81.0,-964.0
107.635,72.0,-74.0,-977.0
108.179,124.0,-117.0,-970.0
108.303,272.0,-114.0,-940.0
108.427,464.0,-112.0,-870.0
