time,ax,ay,az
133.637,-65,925,134
133.761,-77,872,-38
133.885,-97,817,-285
134.009,-118,774,-624
134.133,-96,617,-901
134.257,-62,440,-1085
134.381,-62,190,-1114
134.505,-64,54,-1124
134.769,-52,-74,-1078
135.173,-58,-81,-1076
135.301,-26,69,-1253
135.425,-30,341,-1190
135.549,-54,586,-882
135.672,-81,709,-401
135.797,-53,706,-60
135.921,-28,732,122
136.044,-29,788,292
136.309,-56,861,274
136.433,-41,838,120
136.557,-41,817,-105
136.681,-76,757,-373
136.805,-113,620,-706
136.929,-129,476,-976
137.053,-141,256,-1097
137.176,-110,134,-1064
137.3,-76,20,-1044
137.565,-46,-10,-1052
138.373,-8,136,-1182
138.496,12,377,-1165
138.62,2,632,-970
138.745,-29,790,-540
138.869,-54,884,-241
139.008,-45,932,-68
139.397,-52,973,17
139.525,-65,917,-85
139.648,-70,817,-302
139.773,-96,700,-569
139.897,-92,538,-845
140.021,-94,337,-1009
140.145,-78,184,-1101
140.269,-62,88,-1092
140.392,-56,50,-1074
140.516,-49,0,-1061
141.061,-36,113,-1113
141.185,-28,358,-1121
141.308,-50,614,-954
141.432,-58,754,-589
141.557,-61,798,-232
141.68,-46,858,-26
141.804,-44,942,42
142.209,-70,988,-14
142.332,-66,916,-158
142.457,-74,792,-380
142.581,-86,654,-608
142.705,-81,486,-814
142.828,-62,337,-973
142.953,-40,186,-1068
143.077,-37,77,-1081
144.149,-4,90,-1156
144.272,-9,288,-1146
144.396,-24,524,-986
144.521,-70,729,-600
144.645,-85,821,-248
144.769,-81,877,-10
144.894,-77,942,86
145.156,-60,954,-9
145.281,-50,877,-214
145.405,-38,838,-462
145.529,-25,706,-681
145.652,-45,512,-865
145.776,-66,261,-981
145.901,-85,100,-1085
146.165,-56,6,-1081
146.708,-14,42,-1094
146.832,21,185,-1134
146.957,17,418,-1072
147.08,-16,656,-754
147.205,-73,777,-370
147.329,-72,822,-64
147.452,-61,873,56
147.577,-29,929,58
147.701,-14,934,-12
147.827,-17,878,-237
147.953,-12,737,-497
148.077,18,541,-766
148.201,16,312,-952
148.325,13,153,-1052
148.449,-8,61,-1092
149.412,14,2,-1062
149.536,-4,85,-1140
149.665,-32,289,-1116
149.788,-38,536,-876
149.913,-50,728,-454
150.036,-50,814,-78
150.161,-48,866,112
150.284,-46,900,98
150.408,-56,877,-52
150.532,-80,742,-365
150.656,-69,594,-716
150.78,-42,380,-960
150.905,-14,209,-1070
151.028,-17,48,-1074
151.292,-28,-5,-1076
152.116,-14,121,-1085
152.244,-32,366,-1030
152.369,-72,622,-816
152.492,-114,780,-452
152.617,-122,826,-110
152.741,-101,865,90
152.864,-77,926,133
152.988,-48,980,82
153.112,-30,990,-24
153.236,-18,905,-216
153.36,-14,756,-502
153.485,-2,570,-780
153.609,-8,414,-989
153.732,-13,245,-1050
153.856,-16,133,-1093
154.121,-10,18,-1068
154.944,-14,26,-1088
155.068,-5,230,-1177
155.192,-6,445,-1070
155.316,-18,654,-793
155.44,-18,737,-372
155.564,-10,836,-108
155.688,0,913,14
155.813,-8,974,38
155.937,-20,1002,-24
156.061,-44,953,-156
156.184,-81,822,-418
156.312,-104,660,-668
156.436,-125,462,-896
156.56,-112,333,-994
156.685,-82,208,-1076
157.929,-4,81,-1093
158.052,0,216,-1142
158.176,-9,452,-1045
158.3,-56,664,-764
158.425,-100,793,-374
158.548,-106,833,-57
158.672,-88,853,122
158.796,-72,882,217
158.92,-84,922,190
159.044,-69,904,78
159.168,-60,865,-209
159.292,-44,710,-517
159.416,-37,494,-850
159.54,-10,265,-1016
159.664,6,113,-1110
159.792,1,40,-1116
160.056,-38,-41,-1082
160.603,-30,38,-1036
160.729,-8,125,-1181
160.852,-20,282,-1197
160.976,-92,510,-1100
161.1,-144,698,-601
161.225,-144,794,-157
161.348,-66,769,232
161.473,-32,814,348
161.596,-21,882,370
161.72,-32,892,242
161.844,-49,856,-37
161.968,-72,846,-417
162.092,-64,868,-665
162.216,-77,725,-804
162.34,-98,548,-918
162.464,-113,320,-1036
162.588,-78,237,-1089
162.712,-30,120,-1065
162.837,-2,60,-1068
163.52,-2,6,-893
163.644,-8,30,-933
163.769,-30,168,-1029
163.892,-62,333,-1134
164.016,-81,590,-897
164.141,-73,705,-445
164.264,-37,809,-64
164.388,-12,820,194
164.512,2,886,261
164.64,-6,870,172
164.764,-44,842,-112
164.888,-72,714,-436
165.012,-96,552,-744
165.136,-92,352,-966
165.26,-56,144,-1129
165.384,-16,48,-1173
165.508,17,-37,-1121
166.332,-28,20,-1161
166.456,-25,261,-1225
166.581,-33,536,-1026
166.704,-45,718,-550
166.828,-62,750,-58
166.952,-73,772,192
167.076,-90,869,264
167.34,-69,956,168
167.464,-81,941,41
167.588,-120,872,-190
167.712,-166,753,-461
167.836,-168,597,-757
167.96,-180,433,-970
168.084,-142,277,-1058
168.208,-112,145,-1094
168.332,-68,62,-1066
169.28,-5,88,-1165
169.404,33,260,-1181
169.528,46,498,-1001
169.652,12,656,-513
169.776,-33,760,-70
169.9,-73,812,214
170.024,-69,876,308
170.288,-60,929,218
170.412,-78,902,37
170.536,-98,802,-234
170.66,-114,709,-512
170.784,-81,620,-777
170.908,-22,493,-956
171.033,-32,320,-1054
171.156,-64,168,-1080
171.42,-80,88,-1062
172.105,-33,180,-1093
172.228,-16,420,-992
172.352,-2,681,-752
172.477,-20,864,-372
172.6,-28,922,-100
172.724,-30,940,44
172.991,-36,892,56
173.116,-61,896,-9
173.24,-70,894,-174
173.364,-62,848,-404
173.488,-38,713,-697
173.612,-41,496,-892
173.736,-42,262,-1025
173.86,-42,64,-1104
173.984,-30,-52,-1117
174.108,-25,-106,-1100
174.652,-6,-65,-1058
174.776,-2,80,-1132
174.9,-25,373,-1000
175.024,-65,665,-668
175.148,-89,806,-194
175.273,-77,812,120
175.396,-57,808,277
175.52,-49,870,256
175.644,-45,868,32
175.768,-56,793,-332
175.896,-41,613,-673
176.02,-42,468,-920
176.144,-34,306,-1037
176.268,-37,196,-1096
176.392,-33,81,-1085
176.516,-20,5,-1066
177.063,-16,70,-1098
177.188,-34,276,-1098
177.312,-57,536,-952
177.436,-77,744,-552
177.56,-72,816,-130
